Player,Left Team,Joined Team
Gastón Giménez,Estudiantes LP,Vélez Sarsfield
Renan Ribeiro,Estoril Praia,Sporting CP
Douglas Augusto,Fluminense,Corinthians
Leonardo Morosini,Genoa,Brescia
Takuma Asano,Arsenal,Hannover 96
Goran Causic,Arsenal Tula,Red Star
Afriyie Acquah,Torino,FC Empoli
Eddie Salcedo,Genoa,Inter U19
Emre Çolak,Dep. La Coruña,Al-Wehda
Gabriel Obertan,Levski Sofia,BB Erzurumspor
Enrique Triverio,Racing Club,Toluca
Henri Saivet,Newcastle,Bursaspor
Benjamin Kololli,Lausanne-Sport,FC Zürich
Jae-sung Lee,Jeonbuk Hyundai,Holstein Kiel
Diego Rodríguez,Independiente,Club Tijuana
Rafal Kurzawa,Górnik Zabrze,Amiens SC
Aymen Barkok,E. Frankfurt,F. Düsseldorf
Stoppila Sunzu,LOSC Lille,FC Metz
Fanendo Adi,Portland,Cincinnati
Sander Coopman,Club Brugge,KV Oostende
Lisandro Martínez,Newell's II,Defensa
Juan Ramírez,Colorado,CA Talleres
Alen Halilovic,AC Milan,Standard Liège
Djalma,PAOK Salonika,Alanyaspor
Jalil Elías,Newell's,Godoy Cruz
Hólmar Örn Eyjólfsson,Maccabi Haifa,Levski Sofia
Charles Traoré,Troyes,FC Nantes
Wilson Morelo,Indep. Santa Fe,CA Colon
Ömer Bayram,Akhisarspor,Galatasaray
Serdar Gürler,SD Huesca,Göztepe
Samuel Eduok,Kasimpasa,BB Erzurumspor
Clint Leemans,VVV-Venlo,PEC Zwolle
Mame Thiam,Esteghlal FC,Ajman Club
Facundo Quignón,San Lorenzo,Lanús
Reinhold Yabo,RB Salzburg,Arm. Bielefeld
Lamin Jallow,Chievo Verona,Salernitana
Domingos Duarte,Sporting CP,Dep. La Coruña
Kevin Mac Allister,Argentinos Jrs.,Boca Juniors
Fernando Coniglio,Huracán,Lanús
Carlos Auzqui,River Plate,Huracán
Justin Meram,Columbus Crew,Atlanta
Marko Vejinović,AZ Alkmaar,Arka Gdynia
Fernando Monetti,Atl. Nacional,San Lorenzo
Lasse Sobiech,FC St. Pauli,1.FC Köln
Felix Wiedwald,Leeds,E. Frankfurt
Markus Suttner,Brighton,F. Düsseldorf
Kevin Stöger,VfL Bochum,F. Düsseldorf
Enzo Roco,CD Cruz Azul,Besiktas
Jaroslaw Jach,Crystal Palace,C. Rizespor
Federico Dimarco,Inter,Parma
Luka Ilic,Man City,NAC Breda
Marcos Díaz,Huracán,Boca Juniors
Manoel,Cruzeiro,Corinthians
Júnior Urso,GZ R&F,Corinthians
Guram Kashia,Vitesse,San Jose
Sebastian Larsson,Hull City,AIK
Ivan Petryak,Shakhtar D.,Ferencváros
Grant Leadbitter,Middlesbrough,Sunderland
Billy Ketkeophomphone,Angers SCO,AJ Auxerre
Mathieu Michel,Angers SCO,AJ Auxerre
Réver,Internacional,Atlético-MG
Conor Washington,QPR,Sheff Utd
Marvin Johnson,Middlesbrough,Sheff Utd
Callum Connolly,Everton U23,Bolton
Marc Wilson,Sunderland,Bolton
Krystian Bielik,Arsenal,Charlton
Ivi López,Levante,Real Valladolid
Keko Gontán,Málaga CF,Real Valladolid
Mario Suárez,GZ Hengfeng,Rayo Vallecano
James Wilson,Man Utd,Aberdeen FC
Lars Unnerstall,VVV-Venlo,PSV Eindhoven
Manu García,Man City,Toulouse
Knowledge Musona,RSC Anderlecht,KSC Lokeren
Yoric Ravet,SC Freiburg,Grasshoppers
Arnaud Lusamba,OGC Nice,Cercle Brugge
Cícero,Grêmio,Botafogo
Gianluigi Buffon,Juventus,Paris SG
Joao Rojas,CD Cruz Azul,São Paulo
Abdelaziz Barrada,Al-Nasr SC,Antalyaspor
Giannis Fetfatzidis,Olympiacos,Aris Saloniki
Marquinhos Gabriel,Corinthians,Cruzeiro
Uroš Račić,Valencia,CD Tenerife
Jonathan Walters,Burnley,Ipswich
Lazaros Christodoulopoulos,Hellas Verona,Olympiacos
Luca Rizzo,Bologna,Foggia
Steeve Yago,Toulouse,Le Havre AC
Luca Antonelli,AC Milan,FC Empoli
Salih Uçan,Fenerbahce,FC Empoli
Yohan Mollo,KS Samara,FC Sochaux
Kenyu Sugimoto,Cerezo Osaka,Urawa Reds
Rafal Kurzawa,Amiens SC,FC Midtjylland
Héctor Canteros,Flamengo,Ankaragücü
Alessio Cerci,Hellas Verona,Ankaragücü
Valdívia,Internacional,Vasco da Gama
Leandro Castán,AS Roma,Vasco da Gama
Antônio Carlos,Tombense,Palmeiras
David Meyler,Hull City,Reading
Dominic Iorfa,Wolves,Sheff Wed
Toni Leistner,Union Berlin,QPR
Elsinho,Kawasaki Front.,Shimizu S-Pulse
Callum McManaman,Sunderland,Wigan
José Fonte,DL Yifang,LOSC Lille
Iván Alejo,Getafe,Málaga CF
Mikel Agu,FC Porto,Vitória Setúbal
Jony,Málaga CF,Alavés
Borja Bastón,Swansea,Alavés
Darko Brasanac,Real Betis,Alavés
Teemu Pukki,Bröndby IF,Norwich
Baptiste Guillaume,Angers SCO,Nîmes Olympique
Paul Bernardoni,G. Bordeaux,Nîmes Olympique
Jorge Benítez,Monterrey,Cerro Porteño
Leon Balogun,1.FSV Mainz 05,Brighton
Michael Santos,Málaga CF,CD Leganés
Eduard Sobol,Shakhtar D.,Jablonec
Ganso,Sevilla FC,Amiens SC
Théo Pellenard,G. Bordeaux,Angers SCO
Nathaël Julan,Guingamp,Valenciennes FC
Lars Unnerstall,PSV Eindhoven,VVV-Venlo
Lumor Agbenyenu,Sporting CP,Göztepe
Cameron Jerome,Derby,Göztepe
Damián Pérez,Colo-Colo,San Lorenzo
Felipe Pardo,Olympiacos,Toluca
David Braz,Santos,Sivasspor
Bautista Merlini,San Lorenzo,Defensa
Ángel Zaldívar,Chivas,Monterrey
Marcelo Herrera,Lanús,Belgrano
Frederico Venâncio,Vitória Setúbal,Vit. Guimarães
Dodô,Shakhtar D.,Vit. Guimarães
Mattheus,Sporting CP,Vit. Guimarães
Galeno,FC Porto,Rio Ave
Damián Pérez,Club Tijuana,Colo-Colo
Robin Lod,Panathinaikos,Sporting Gijón
Nick Blackman,Derby,Sporting Gijón
Ganso,Sevilla FC,Fluminense
Luciano,CD Leganés,Fluminense
Maryan Shved,Celtic,Karpaty
Maksim Kanunnikov,SKA Khabarovsk,KS Samara
Ibragim Tsallagov,Zenit S-Pb,Rubin Kazan
Emiliano Viviano,Sporting CP,SPAL
Vanja Milinković-Savić,Torino,SPAL
David Stockdale,Birmingham,Southend United
Laurens De Bock,Leeds,KV Oostende
Yoann Gourcuff,Stade Rennais,Dijon
Demba Ba,Göztepe,SH Shenhua
Marlone,Corinthians,Goiás
Giovanni Augusto,Corinthians,Goiás
Idrissa Sylla,QPR,Zulte Waregem
Ibrahima Seck,KRC Genk,Zulte Waregem
Stef Peeters,SM Caen,Zulte Waregem
Jaime Mata,Real Valladolid,Getafe
Sergi Guardiola,Córdoba CF,Getafe
Dimitri Foulquier,Watford,Getafe
Pablo Aguilar,Club Tijuana,CD Cruz Azul
Harrison Manzala,Angers SCO,M. Petah Tikva
Marcos Júnior,Fluminense,Yokohama F. M.
Percy Tau,Brighton,Union SG
Sergi Samper,Barcelona,Vissel Kobe
Tomás Conechny,San Lorenzo II,Portland
Ángel Mena,CD Cruz Azul,León
Xabi Etxeita,Athletic,SD Huesca
Marquinhos Gabriel,Corinthians,Al-Nasr SC
Álvaro Negredo,Besiktas,Al-Nasr SC
Neílton,EC Vitória,Internacional
Rodrigo Lindoso,Botafogo,Internacional
Demba Ba,SH Shenhua,Basaksehir
Soner Aydoğdu,Akhisarspor,Basaksehir
Andrea Pinamonti,Inter,Frosinone
Arthur Caíke,Pyramids FC,Al-Shabab
Martín Silva,Vasco da Gama,Libertad
Alexander Mejía,León,Libertad
Guilherme,Corinthians,EC Bahia
Ernando,Internacional,EC Bahia
Douglas Augusto,Corinthians,EC Bahia
Clayton,Atlético-MG,EC Bahia
Mikhail Gordeychuk,BATE Borisov,Tobol Kostanay
Wellington Silva,CSA,Boavista
Augusto Batalla,River Plate,Tigre
Leitón Jiménez,Atlas,Lobos BUAP
Federico Varela,FC Porto B,R. Majadahonda
Alejandro Pozo,Sevilla FC,Granada CF
Campanharo,Ludogorets,Chapecoense
Gum,Without Club,Chapecoense
Barış Alıcı,Fenerbahce,Y. Malatyaspor
Mitchell Donald,Red Star,Y. Malatyaspor
Augusto Batalla,River Plate,La Calera
Mu Kanazaki,Kashima Antlers,Sagan Tosu
Kenny Saief,RSC Anderlecht,Cincinnati
Vito Mannone,Reading,Minnesota
Shuai Yang,Liaoning FC,CQ Dangdai Lif.
Liping Wei,MZ Hakka,SZ FC Res.
Erxat Tuhtahun,GuaZ FC Res.,SZ FC Res.
Binrui Jia,GZ FC U19,SZ FC Res.
Peng Wang,SJZ Ever Bright,SZ FC
Qiang Jin,DL Yifang,SZ FC
Juan Fernando Caicedo,Indep. Medellín,New England
Ayron del Valle,Millonarios,Querétaro FC
Omar Khribin,Al-Hilal,Pyramids FC
Mateo Barac,NK Osijek,Rapid Vienna
Khama Billiat,Sundowns,Kaizer Chiefs
Sebastián Villa,Deportes Tolima,Boca Juniors
Rafael Czichos,Holstein Kiel,1.FC Köln
Tuta,São Paulo U20,E. Frankfurt
Richard,Fluminense,Corinthians
Assan Ceesay,FC Lugano,FC Zürich
Guga,Avaí FC,Atlético-MG
Mohamed Buya Turay,Dalkurd,Sint-Truiden
Kayden Jackson,Accrington,Ipswich
Yassine Meriah,CS Sfaxien,Olympiacos
Raúl Bobadilla,Bor. M'gladbach,Argentinos Jrs.
Albert Gudmundsson,PSV Eindhoven,AZ Alkmaar
Alexis Peña,Pachuca,Necaxa
Zinho Gano,KV Oostende,KRC Genk
Leonel López,León,Toluca
Roman Macek,Juventus,FC Lugano
José Machín,AS Roma,Pescara
Alexandre Jankewitz,Servette U18,Southampton U18
Mohammed Aminu,WAFA SC,Man City U23
Gastón Ávila,Ros. Central II,Boca Juniors II
Luis Reyes,Atlas,América
Lucas Cavallini,Peñarol,Puebla FC
Josip Radosevic,Hajduk Split,Bröndby IF
Luca Mazzitelli,Sassuolo,Genoa
Cristian Ganea,FC Viitorul,Athletic
Ángelo Henríquez,Atlas,U. de Chile
Aleksandr Zuev,Spartak Moscow,Rostov
Nikolay Komlichenko,Krasnodar,Mlada Boleslav
Lucas Albertengo,Independiente,Estudiantes LP
Orel Mangala,VfB Stuttgart,Hamburger SV
Umar Sadiq,AS Roma,Rangers
Jakub Brabec,KRC Genk,C. Rizespor
Alexandru Chipciu,RSC Anderlecht,Sparta Prague
Mauro Boselli,León,Corinthians
Álvaro Medrán,Valencia,Rayo Vallecano
Amato Ciciretti,Napoli,Ascoli
Vanja Milinković-Savić,Torino,Ascoli
Julien De Sart,Middlesbrough,KV Kortrijk
Hernán Barcos,LDU Quito,Cruzeiro
Miguel Ángel Guerrero,CD Leganés,Olympiacos
Ali Adnan,Udinese Calcio,Atalanta BC
Umar Sadiq,AS Roma,Perugia
Thomas Heurtaux,Udinese Calcio,Ankaragücü
Stephane Omeonga,Genoa,Hibernian FC
Jugurtha Hamroun,Al-Sadd SC,Qatar SC
Artur Yusupov,Zenit S-Pb,Rostov
Hugo González,Monterrey,Necaxa
Carlos Peña,Rangers,Necaxa
Francisco Silva,CD Cruz Azul,Independiente
Guillermo Burdisso,León,Independiente
Mauro Formica,UNAM Pumas,Newell's
Vasco Regini,Sampdoria,SPAL
Sebastián Cristóforo,Fiorentina,Getafe
Igor Lichnovsky,Necaxa,CD Cruz Azul
Igor Sergeev,Al-Dhafra FC,Pakhtakor
Edwin Hernández,Chivas,Pachuca
José Manuel Jurado,Al-Ahli,CC Yatai
Ronnie Fernández,Al-Fayha,Al-Nasr SC
Jonatan Álvez,Junior FC,Internacional
Hernán Barcos,Cruzeiro,Atl. Nacional
Osvaldo Martínez,Santos Laguna,Atlas
Lorenzo Reyes,U. de Chile,Atlas
Ricardo Álvarez,Sampdoria,Atlas
Francesco Zampano,Pescara,Frosinone
Juan Martín Lucero,Club Tijuana,Godoy Cruz
Jugurtha Hamroun,Al-Sadd SC,Al-Kharaitiyat
Renatinho,GZ R&F,TJ Tianhai
Rodrigo Aguirre,Udinese Calcio,LDU Quito
Ji-su Park,Gyeongnam FC,GZ Evergrande
Lucas Torró,CA Osasuna,Real Madrid
Eric Remedi,Banfield,Atlanta
Leonardo Bertone,BSC Young Boys,Cincinnati
Khalid Boutaïb,Y. Malatyaspor,Zamalek
Pedro Tiba,SC Braga,Lech Poznan
Raphael Rossi,Boavista,FC Sion
Alexander Domínguez,Monterrey,Vélez Sarsfield
Dodô,Sampdoria,Cruzeiro
Musa Çağıran,Osmanlispor,C. Rizespor
Esteban Pavez,Athletico-PR,Colo-Colo
Slavoljub Srnic,Red Star,UD Las Palmas
Maximiliano Cuadra,Racing Club,CA Unión
Milan Gajic,G. Bordeaux,Red Star
Emil Bergström,Rubin Kazan,FC Utrecht
Ante Erceg,Shabab Al-Ahli,Bröndby IF
André Martins,Olympiacos,Legia Warszawa
Vina,Athletico-PR,Atlético-MG
Cristian Penilla,Pachuca,New England
Damien Le Tallec,Red Star,Montpellier
Heri Tavares,Benfica B,Moreirense
Víctor Vázquez,Toronto,Al-Arabi SC
Kellyn Acosta,Dallas,Colorado
Tomas Necid,Bursaspor,ADO Den Haag
Agustín Allione,Palmeiras,Rosario Central
Lucas Barrios,Colo-Colo,Huracán
Lucas Gamba,CA Unión,Huracán
Uğur Çiftçi,Genclerbirligi,Sivasspor
Lucas Barrios,Argentinos Jrs.,Colo-Colo
Guilherme,Corinthians,Fluminense
Eric Lichaj,Nottm Forest,Hull City
Gastón Campi,Estudiantes LP,Chaves
Edigar Junio,EC Bahia,Yokohama F. M.
Lucas,Palmeiras,Botafogo-SP
Yeison Gordillo,Indep. Santa Fe,Deportes Tolima
Apodi,Chapecoense,Ohod Club
Danilo Silva,Internacional,LAFC
Romain Métanire,Stade Reims,Minnesota
Seung-hyun Jung,Sagan Tosu,Kashima Antlers
Khaled Narey,Greuther Fürth,Hamburger SV
Quique González,CA Osasuna,Dep. La Coruña
Lee Grant,Stoke City,Man Utd
Ben Wilmot,Stevenage,Watford
Mathias Normann,Brighton,Rostov
Karlan Grant,Charlton,Huddersfield
Ben Marshall,Wolves,Norwich
Saïd Benrahma,OGC Nice,Brentford
Serginho,Santos,Kashima Antlers
Nigel Hasselbaink,Kiryat Shmona,H. Beer Sheva
Reece Burke,West Ham,Hull City
Samuele Mulattieri,Spezia U19,Inter U19
Juan Cala,HN Jianye,UD Las Palmas
Biro Biro,SH Shenxin,São Paulo
Lorenzo Crisetig,Bologna,Frosinone
Franck Ohandza,SZ FC,HN Jianye
Nicolás Aguirre,CQ Dangdai Lif.,Granada CF
William Tesillo,Indep. Santa Fe,León
Hamza Lahmar,ES Sahel,Kuwait SC
David Moberg Karlsson,Norrköping,Sparta Prague
Daigo Nishi,Kashima Antlers,Vissel Kobe
Matus Bero,Trabzonspor,Vitesse
Brad Potts,Barnsley FC,Preston
Ryosuke Yamanaka,Yokohama F. M.,Urawa Reds
Nayef Aguerd,FUS Rabat,Dijon
Rúnar Alex Rúnarsson,Nordsjaelland,Dijon
Nikolai Baden Frederiksen,Nordsjaell. U19,Juventus U19
Mislav Orsic,Ulsan Hyundai,Dinamo Zagreb
Gustavo,CS U Craiova,Liaoning FC
Cristian Galano,Bari,Parma
Antonio Di Gaudio,Parma,Hellas Verona
Ferjani Sassi,Al-Nassr,Zamalek
Cristian Galano,Parma,Foggia
Fernando Zuqui,Estudiantes LP,CA Colon
Franco Mussis,San Lorenzo,Gimnasia
Patric,Salgueiro,Sanf. Hiroshima
Philipe Sampaio,Akhmat Grozny,Feirense
Marcelo Moreno,WH Yangtze Res.,SJZ Ever Bright
Aleksandr Sapeta,Rostov,Nizhny Novgorod
Erik Gerbi,Pro Vercelli,Juventus U23
In-beom Hwang,Daejeon Citizen,Vancouver
Jan Matousek,1.FK Pribram,Slavia Prague
Leo Stulac,Venezia,Parma
Mohamed Mahmoud,Wadi Degla,El Ahly
Hamdi Fathi,Enppi SC,El Ahly
Barış Alıcı,Altinordu,Fenerbahce
Josh Maja,Sunderland,G. Bordeaux
Aliou Badji,Djurgården,Rapid Vienna
David Terans,Rentistas,Atlético-MG
Xande Silva,Vit. Guimarães,West Ham
Nicholas Opoku,Club Africain,Udinese Calcio
Przemyslaw Frankowski,Jagiellonia,Chicago
Sandro Lauper,FC Thun,BSC Young Boys
Mohamed Camara,Hapoel Raanana,BSC Young Boys
Carles Gil,Dep. La Coruña,New England
Fernando Andrade,Santa Clara,FC Porto
Rafa Soares,Portimonense,FC Porto
Samuel Mraz,MSK Zilina,FC Empoli
Rifat Zhemaletdinov,Rubin Kazan,Loko Moscow
Sardor Rashidov,Loko Tashkent,Nacional
Moritz Leitner,FC Augsburg,Norwich
Misael Domínguez,Monterrey U20,CD Cruz Azul
Damian Szymanski,Wisla Plock,Akhmat Grozny
Pedro Aquino,Monterrey,León
Laurens Serpe,Genoa U17,Inter U19
Marko Hanuljak,Mouscron U21,Fiorentina U19
Andrea Beghetto,Genoa,Frosinone
Ryan Mendes,Kayserispor,Sharjah FC
Dorin Rotariu,Club Brugge,FC Astana
Junior Brandão,Atlético-GO,Ludogorets
Shaocong Wu,Shimizu S-Pulse,GuaZ FC Res.
Peter Gwargis,J-Södra IF,Brighton U23
Stephy Mavididi,Arsenal U23,Juventus U23
Ferdi Kadıoğlu,NEC Nijmegen,Fenerbahce
Joe Garner,Ipswich,Wigan
Luka Krajnc,Cagliari Calcio,Frosinone
Dieumerci Ndongala,Standard Liège,KRC Genk
Jonatan Maidana,River Plate,Toluca
Jérôme Gondorf,Werder Bremen,SC Freiburg
Mirko Ivanic,BATE Borisov,Red Star
Eduardo,Estoril Praia,SC Braga
Thorsten Röcher,Sturm Graz,FC Ingolstadt
Rafael Martins,Vit. Guimarães,ZJ Greentown
Yevgen Makarenko,KV Kortrijk,RSC Anderlecht
Zakaria Bakkali,Valencia,RSC Anderlecht
Anthony Nwakaeme,H. Beer Sheva,Trabzonspor
Felipe Vizeu,Udinese Calcio,Grêmio
Jiri Skalak,Brighton,Millwall
Carlos Quintana,CA Talleres,Argentinos Jrs.
Harrison Manzala,Amiens SC,Angers SCO
Konstantin Kerschbaumer,Brentford,FC Ingolstadt
Damián Musto,Club Tijuana,SD Huesca
Daniel Arzani,Melbourne City,Man City
Ike Opara,Kansas City,Minnesota
Eugenio Mena,EC Bahia,Racing Club
Carlos Sánchez,Monterrey,Santos
Abdallah Said,El Ahly,Al-Ahli
Dario Zuparic,Pescara,HNK Rijeka
Sadık Çiftpınar,Y. Malatyaspor,Fenerbahce
Colin Coosemans,KV Mechelen,KAA Gent
Joris van Overeem,AZ Alkmaar,FC Utrecht
Davide Lanzafame,Honvéd,Ferencváros
Gino Peruzzi,Boca Juniors,San Lorenzo
Ibrahim Hassan,Ismaily,Zamalek
Marco Aratore,FC St. Gallen,Ural
Lorenzo Ebecilio,APOEL Nicosia,Red Star
Brian Fernández,Racing Club,Necaxa
Christoph Knasmüllner,Barnsley FC,Rapid Vienna
Majid Hosseini,Esteghlal FC,Trabzonspor
Erdal Rakip,Benfica B,Malmö FF
Felix Passlack,Bor. Dortmund,Norwich
Prince Oniangué,Wolves,SM Caen
Titi,Bursaspor,Göztepe
Said Ahmed Said,Hajduk Split,Rio Ave
Sebastián Ribas,Karpaty,Lanús
Djordje Jovanovic,Partizan,KSC Lokeren
Lucas Boyé,Torino,AEK Athens
Anton Maglica,Apol. Limassol,GZ Hengfeng
José Naranjo,KRC Genk,CD Tenerife
Felipe Pires,TSG Hoffenheim,Palmeiras
Bilal Başaçıkoğlu,Feyenoord,Kayserispor
Allano,Estoril Praia,Bursaspor
Aleksa Vukanovic,Napredak,Red Star
João Amaral,Benfica,Lech Poznan
Zargo Touré,FC Lorient,Trabzonspor
Luis Miguel Rodríguez,Atl. Tucumán,CA Colon
Luiz Antônio,Chapecoense,Al-Shabab
Michael Hefele,Huddersfield,Nottm Forest
Leonardo Sequeira,Central Córdoba,Belgrano
Simon Zoller,1.FC Köln,VfL Bochum
Ben Wilmot,Watford,Udinese Calcio
Marin Leovac,PAOK Salonika,Dinamo Zagreb
Marcello Falzerano,Venezia,Perugia
Filippo Falco,Bologna,Lecce
Sebá,Olympiacos,Al-Shabab
Rashid Sumaila,Qadsia SC,Red Star
Ramon Leeuwin,FC Utrecht,Odense BK
Héldon,Sporting CP,Al-Taawoun
Senna Miangue,Cagliari Calcio,Standard Liège
Leandro Fernández,Independiente,Vélez Sarsfield
François Bellugou,Troyes,AJ Auxerre
Gerónimo Poblete,FC Metz,San Lorenzo
Josef Sural,Sparta Prague,Alanyaspor
Dario Dumic,FC Utrecht,Dynamo Dresden
Antonino Ragusa,Sassuolo,Hellas Verona
Sergio Vittor,Racing Club,U. de Chile
Marcel Franke,Norwich,Darmstadt 98
Manolis Siopis,Olympiacos,Aris Saloniki
Aílton,VfB Stuttgart,SC Braga
Eden Ben Basat,Hapoel Haifa,H. Beer Sheva
Federico Bonazzoli,Sampdoria,Padova
Lorenzo Venuti,Fiorentina,Lecce
Roberto Massimo,VfB Stuttgart,Arm. Bielefeld
Stephan Lichtsteiner,Juventus,Arsenal
Bright Edomwonyi,C. Rizespor,Austria Vienna
Simone Romagnoli,FC Empoli,Brescia
Aytaç Kara,Trabzonspor,Bursaspor
Santiago Vergini,Boca Juniors,Bursaspor
Carlos Zambrano,Dynamo Kyiv,FC Basel
Kenan Karaman,Hannover 96,F. Düsseldorf
Diego Contento,G. Bordeaux,F. Düsseldorf
Jairo Samperio,UD Las Palmas,Hamburger SV
Itay Shechter,B. Jerusalem,M. Tel Aviv
Okechukwu Azubuike,Pyramids FC,C. Rizespor
Benjamin van Leer,Ajax,NAC Breda
Semih Kaya,Sparta Prague,Galatasaray
Marc Gual,Sevilla FC,Real Zaragoza
Davide Mariani,FC Lugano,Levski Sofia
Taiwo Awoniyi,Liverpool,KAA Gent
Timothy Derijck,Zulte Waregem,KAA Gent
Kasey Palmer,Chelsea U23,Blackburn
Pedro Gallese,Tiburones Rojos,Alianza Lima
Michiel Kramer,Maccabi Haifa,FC Utrecht
Oussama Tannane,Saint-Étienne,FC Utrecht
Dominik Kaiser,RB Leipzig,Bröndby IF
Rômulo,Flamengo,Grêmio
Bryan Ruiz,Sporting CP,Santos
Ahmed Akaichi,Al-Ittihad,ES Sahel
Grégory Sertic,Marseille,FC Zürich
Kolbeinn Sigthórsson,FC Nantes,AIK
Karim Laribi,RC Cesena,Hellas Verona
Liam Henderson,Bari,Hellas Verona
Jerome Sinclair,Watford,Sunderland
Diego Maradona,Argentinos Jrs.,Boca Juniors
Garry Birtles,Nottm Forest,Man Utd
Clive Allen,QPR,Arsenal
Steve Archibald,Aberdeen FC,Tottenham
Alejandro Sabella,Sheff Utd,Leeds
Kenny Sansom,Crystal Palace,Arsenal
Herbert Prohaska,Austria Vienna,Inter
Paul Goddard,QPR,West Ham
Gordon Smith,Rangers,Brighton
Craig Johnston,Middlesbrough,Liverpool
Garth Crooks,Stoke City,Tottenham
Rainer Bonhof,Valencia,1.FC Köln
Karl Del'Haye,Bor. M'gladbach,Bayern Munich
Kevin Keegan,Hamburger SV,Southampton
Peter Withe,Newcastle,Aston Villa
Liam Brady,Arsenal,Juventus
Roger Van Gool,1.FC Köln,Coventry
Michel van de Korput,Feyenoord,Torino
Rüdiger Abramczik,FC Schalke 04,Bor. Dortmund
Heinz-Werner Eggeling,E. Braunschweig,Bay. Uerdingen
Wolfram Wuttke,FC Schalke 04,Bor. M'gladbach
Quini,Sporting Gijón,Barcelona
Jürgen Groh,1.FC K'lautern,Hamburger SV
René Botteron,FC Zürich,1.FC Köln
Simon Tahamata,Ajax,Standard Liège
David Langan,Derby,Birmingham
Bobby McDonald,Coventry,Man City
Rolf Rüssmann,FC Schalke 04,Bor. Dortmund
Ian Rush,Chester FC,Liverpool
Gerd Zimmermann,F. Düsseldorf,Houston Hurric.
Friedhelm Funkel,Bay. Uerdingen,1.FC K'lautern
Karl Allgöwer,Stuttg. Kickers,VfB Stuttgart
Ruud Krol,Ajax,Whitecaps
Fernando Gomes,FC Porto,Sporting Gijón
Richard Money,Fulham,Liverpool
Rudi Völler,K. Offenbach,1860 Munich
Pierre Vermeulen,Roda JC,Feyenoord
Luuk Balkestein,Sparta R.,Feyenoord
Nikola Jovanovic,Red Star,Man Utd
Drazen Muzinic,Hajduk Split,Norwich
Juan Lozano,Diplomats,RSC Anderlecht
Gerry Armstrong,Tottenham,Watford
Martin O'Neill,Nottm Forest,Norwich
Paul Maguire,Shrewsbury,Stoke City
John Trewick,West Brom,Newcastle
Hans Galjé,FC Den Haag,Ajax
Chris Woods,QPR,Norwich
Ulrich Stein,Arm. Bielefeld,Hamburger SV
Joachim Löw,SC Freiburg,VfB Stuttgart
John Burridge,Crystal Palace,QPR
Steve Walford,Arsenal,Norwich
Pintinho,Vasco da Gama,Sevilla FC
Tom Ritchie,Bristol City,Sunderland
Mick Harford,Lincoln City,Newcastle
Carlos Morete,UD Las Palmas,Sevilla FC
Andoni Zubizarreta,Alavés,Bilbao Athletic
Paul Futcher,Man City,Oldham Athletic
Sam Allardyce,Bolton,Sunderland
Gordon Hill,Derby,QPR
Martin Wiggemansen,FC Amsterdam,Ajax
Piet Hamberg,Servette FC,Ajax
Jos Jonker,FC Den Haag,AZ '67
Paco Buyo,RCD Coruña,Sevilla FC
Jens Steffensen,Bay. Uerdingen,Arm. Bielefeld
George Wood,Everton,Arsenal
Ramón Rodríguez,Cádiz CF,Real Betis
Pepe Salguero,CD Málaga,Castilla CF
Tony Sealy,Crystal Palace,QPR
Nick Deacy,Vitesse,Hull City
Jimmy Holmes,Tottenham,Whitecaps
Tony Towner,Millwall,Rotherham
Aidan McCaffery,Derby,Bristol Rovers
Peter Sayer,Brighton,Preston
Johan Tukker,SC Cambuur,FC Groningen
Steve Paterson,Man Utd,Sheff Utd
Vic Moreland,Derby,Roughnecks FC
Norbert Dronia,MSV Duisburg,Arm. Bielefeld
Serdar Bali,Trabzonspor,Besiktas
Dave Watson,Liverpool Res.,Norwich
Mick Speight,Sheff Utd,Blackburn
Roelf-Jan Tiktak,SC Veendam,Sparta R.
Mike McCartney,Carlisle United,Southampton
Donnie Gillies,Bristol City,Bristol Rovers
Steve Ludlam,Carlisle United,Chester FC
Jacob Cohen,H. Beer Sheva,Brighton
Brian Kettle,Liverpool,Wigan
Ricky Sbragia,Walsall,Blackpool
Edmund Stöhr,MTV Ingolstadt,Hertha BSC
Pasi Rautiainen,Bayern Munich,Werder Bremen
Graham Roberts,Weymouth FC,Tottenham
Anto Whelan,Bohemians,Man Utd
Billy Ingham,Burnley,Bradford
David McKellar,Derby,Brentford
Ian Brennan,Burnley,Bolton
Peter Griffiths,Bideford AFC,Stoke City
Malcolm Shotton,Nuneaton,Oxford United
Joe Laidlaw,Portsmouth,Hereford Utd.
Georg Volkert,VfB Stuttgart,1.FC Nuremberg
Chris Hutchings,Harrow Borough,Chelsea
Leen Warnaar,Eindhoven,SVV
Billy Whitehurst,Unknown,Hull City
Roberto Baggio,Caldogno,Vicenza Yth.
Chris Waddle,Tow Law Town,Newcastle
José Ramón Alexanko,Athletic,Barcelona
Andy King,Everton,QPR
Fernando Morena,Rayo Vallecano,Valencia
Alan Mayes,Swindon Town,Chelsea
John Seasman,Millwall,Rotherham
Lobo Diarte,UD Salamanca,Real Betis
Gilberto Yearwood,Elche CF,Valladolid
Amador,Hércules CF,Barcelona
Negro Cabrera,Castellón,Atlético Madrid
Brian Kidd,Everton,Bolton
Peter Kitchen,Fulham,Cardiff
Ray McHale,Swindon Town,Brighton
